song,performer,week_id,week_position,year,weeks_on_chart
The Box,Roddy Ricch,2020-07-11,16,2020,30
The Box,Roddy Ricch,2020-07-18,21,2020,31
The Box,Roddy Ricch,2020-07-25,40,2020,32
The Box,Roddy Ricch,2020-08-01,34,2020,33
The Box,Roddy Ricch,2020-08-08,45,2020,34
The Box,Roddy Ricch,2020-08-15,37,2020,35
The Box,Roddy Ricch,2020-08-22,42,2020,36
The Box,Roddy Ricch,2020-08-29,47,2020,37
The Box,Roddy Ricch,2020-09-05,48,2020,38
Say So,Doja Cat Featuring Nicki Minaj,2020-02-01,92,2020,3
Positions,Ariana Grande,2020-11-28,3,2020,4
