song,performer,week_id,week_position,previous_week_position,peak_position,weeks_on_chart,year
Circles,Post Malone,12/21/2019,2,2.0,1,15,2019
Savage,Megan Thee Stallion,7/4/2020,2,4.0,1,15,2020
Bad Guy,Billie Eilish,7/20/2019,2,2.0,2,15,2019
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,2/9/2019,3,3.0,1,15,2019
Sucker,Jonas Brothers,6/22/2019,4,5.0,1,15,2019
Blinding Lights,The Weeknd,3/21/2020,4,7.0,4,15,2020
Roses,SAINt JHN,7/11/2020,5,4.0,4,15,2020
Say So,Doja Cat Featuring Nicki Minaj,4/25/2020,5,8.0,5,15,2020
7 Rings,Ariana Grande,5/11/2019,6,4.0,1,15,2019
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,2/20/2021,6,4.0,2,15,2021
Ran$om,Lil Tecca,9/21/2019,6,4.0,4,15,2019
Save Your Tears,The Weeknd & Ariana Grande,4/17/2021,6,6.0,4,15,2021
Positions,Ariana Grande,2/13/2021,7,7.0,1,15,2021
"10,000 Hours",Dan + Shay & Justin Bieber,1/25/2020,7,5.0,4,15,2020
Roxanne,Arizona Zervas,2/22/2020,7,7.0,4,15,2020
Dance Monkey,Tones And I,1/25/2020,8,7.0,7,15,2020
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,10/3/2020,9,8.0,7,15,2020
Someone You Loved,Lewis Capaldi,8/31/2019,11,14.0,11,15,2019
Dakiti,Bad Bunny & Jhay Cortez,2/20/2021,19,21.0,5,15,2021
